distance,kicker,result,target
42,M.Badgley,Make,1
21,B.Johnson,Make,1
44,J.Myers,Miss,0
50,J.Myers,Make,1
53,J.Myers,Miss,0
33,B.Johnson,Make,1
21,Z.Gonzalez,Make,1
53,J.Slye,Make,1
43,R.Blankenship,Make,1
28,R.Blankenship,Make,1
24,R.Blankenship,Make,1
32,R.Bullock,Make,1
51,R.Blankenship,Miss,0
25,G.Gano,Make,1
31,G.Gano,Make,1
40,Y.Koo,Make,1
34,H.Butker,Make,1
24,T.Vizcaino,Make,1
43,E.McPherson,Make,1
42,C.Boswell,Miss,0
26,C.Boswell,Make,1
47,C.Santos,Make,1
57,C.McLaughlin,Make,1
41,C.McLaughlin,Make,1
22,C.Santos,Make,1
52,C.McLaughlin,Make,1
28,C.McLaughlin,Make,1
49,J.Tucker,Miss,0
39,J.Tucker,Make,1
50,J.Tucker,Make,1
32,J.Tucker,Make,1
35,R.Santoso,Make,1
66,J.Tucker,Make,1
52,A.Rosas,Miss,0
36,A.Rosas,Miss,0
45,N.Folk,Make,1
26,N.Folk,Make,1
68,M.Prater,Miss,0
34,M.Prater,Make,1
21,T.Bass,Make,1
48,T.Bass,Make,1
29,T.Bass,Make,1
45,B.McManus,Make,1
47,B.McManus,Make,1
21,B.McManus,Make,1
36,B.McManus,Make,1
50,D.Carlson,Make,1
48,J.Sanders,Miss,0
46,J.Sanders,Make,1
38,D.Carlson,Make,1
50,J.Sanders,Make,1
22,D.Carlson,Make,1
53,J.Myers,Make,1
44,J.Myers,Miss,0
43,G.Joseph,Make,1
34,G.Joseph,Make,1
20,G.Joseph,Make,1
55,R.Succop,Miss,0
48,M.Gay,Make,1
26,R.Succop,Make,1
26,M.Gay,Make,1
54,M.Crosby,Make,1
38,M.Crosby,Make,1
51,M.Crosby,Make,1
33,M.Ammendola,Make,1
39,M.Badgley,Make,1
32,Y.Koo,Make,1
35,B.Johnson,Make,1
52,B.Johnson,Make,1
29,Y.Koo,Make,1
53,B.McManus,Make,1
27,B.McManus,Make,1
53,B.McManus,Miss,0
42,B.McManus,Make,1
39,Z.Gonzalez,Make,1
49,Z.Gonzalez,Make,1
37,N.Folk,Make,1
54,N.Folk,Miss,0
37,J.Tucker,Make,1
36,G.Joseph,Make,1
36,J.Tucker,Make,1
28,C.McLaughlin,Make,1
27,E.McPherson,Make,1
24,C.McLaughlin,Make,1
45,C.McLaughlin,Miss,0
39,M.Wright,Make,1
24,T.Bass,Make,1
41,T.Bass,Make,1
55,M.Wright,Make,1
42,M.Wright,Miss,0
21,M.Wright,Make,1
31,K.Fairbairn,Make,1
40,K.Fairbairn,Make,1
42,J.Sanders,Make,1
20,K.Fairbairn,Make,1
25,D.Carlson,Make,1
35,G.Gano,Make,1
32,D.Carlson,Make,1
25,D.Carlson,Make,1
32,G.Gano,Make,1
25,D.Carlson,Miss,0
38,G.Gano,Make,1
24,J.Elliott,Make,1
30,D.Hopkins,Make,1
29,D.Hopkins,Make,1
40,M.Crosby,Miss,0
37,M.Crosby,Make,1
24,H.Butker,Make,1
55,H.Butker,Make,1
26,M.Prater,Make,1
26,R.Gould,Make,1
34,M.Gay,Make,1
22,M.Gay,Make,1
54,M.Gay,Make,1
30,C.Santos,Make,1
22,C.Santos,Make,1
54,C.Boswell,Make,1
52,C.Boswell,Make,1
40,C.Boswell,Make,1
65,C.Santos,Miss,0
21,M.Crosby,Make,1
54,M.Ammendola,Miss,0
21,E.McPherson,Make,1
24,M.Ammendola,Make,1
24,M.Ammendola,Make,1
34,M.Badgley,Make,1
46,R.Bullock,Make,1
44,R.Bullock,Make,1
27,M.Gay,Make,1
45,K.Fairbairn,Miss,0
30,C.McLaughlin,Make,1
31,C.Boswell,Make,1
47,A.Seibert,Miss,0
43,J.Elliott,Make,1
26,J.Elliott,Make,1
41,J.Elliott,Make,1
48,J.Slye,Miss,0
39,C.Santos,Make,1
48,J.Slye,Make,1
52,J.Slye,Make,1
40,C.Santos,Make,1
22,J.Slye,Make,1
25,C.Santos,Make,1
32,J.Slye,Make,1
46,Y.Koo,Make,1
29,Z.Gonzalez,Make,1
51,Z.Gonzalez,Make,1
57,Z.Gonzalez,Make,1
23,Z.Gonzalez,Make,1
45,Y.Koo,Miss,0
53,Y.Koo,Make,1
36,A.Epenesa,Make,1
57,T.Bass,Make,1
51,J.Sanders,Make,1
39,T.Bass,Make,1
24,N.Folk,Make,1
48,N.Folk,Make,1
48,N.Folk,Make,1
48,D.Hopkins,Make,1
30,N.Folk,Make,1
31,J.Myers,Make,1
45,S.Harris,Make,1
45,B.McManus,Make,1
52,C.Blewitt,Make,1
53,B.McManus,Miss,0
47,D.Jones,Make,1
23,B.Johnson,Make,1
35,B.Johnson,Make,1
23,B.Johnson,Make,1
43,G.Zuerlein,Miss,0
38,G.Zuerlein,Make,1
45,G.Joseph,Make,1
40,G.Joseph,Make,1
39,G.Zuerlein,Make,1
24,G.Joseph,Make,1
23,G.Gano,Make,1
36,H.Butker,Make,1
34,H.Butker,Make,1
34,H.Butker,Make,1
51,H.Butker,Make,1
31,B.McManus,Make,1
48,G.Zuerlein,Make,1
38,J.Elliott,Make,1
40,J.Elliott,Make,1
34,R.Patterson,Make,1
36,M.Crosby,Make,1
36,R.Patterson,Make,1
27,R.Patterson,Make,1
41,M.Badgley,Make,1
22,M.Wright,Make,1
20,M.Wright,Make,1
39,M.Wright,Make,1
31,M.Wright,Make,1
23,J.Slye,Make,1
43,J.Slye,Make,1
23,J.Slye,Make,1
43,C.Santos,Make,1
46,C.Santos,Make,1
39,G.Joseph,Make,1
42,C.Santos,Make,1
42,R.Bullock,Miss,0
31,K.Fairbairn,Make,1
